price,resid_area,air_qual,room_num,age,dist1,dist2,dist3,dist4,teachers,poor_prop,airport,n_hos_beds,n_hot_rooms,waterbody,rainfall,bus_ter,parks,Sold
25,45.04,0.464,6.211,28.9,3.92,3.55,3.81,3.39,21.8,6.21,NO,10.3,14.2,Lake and River,46,YES,0.049108903,1
20.6,45.04,0.464,6.249,77.3,3.81,3.34,3.92,3.39,21.8,10.59,NO,5.712,13.1648,Lake and River,54,YES,0.046459979,1
28.4,32.89,0.445,6.625,57.8,3.57,3.23,3.76,3.42,22,6.65,NO,9.968,14.2272,River,46,YES,0.046627461,1
21.4,32.89,0.445,6.163,69.6,3.58,3.35,3.54,3.51,22,11.34,NO,10.228,12.1712,River,21,YES,0.046213944,1
38.7,32.89,0.445,8.069,76,3.7,3.32,3.57,3.39,22,4.21,YES,6.274,12.3096,River,53,YES,0.041200534,1
43.8,32.89,0.445,7.82,36.9,3.54,3.42,3.6,3.43,22,3.57,YES,10.876,10.3504,Lake and River,25,YES,0.051129581,0
33.2,32.89,0.445,7.416,62.5,3.83,3.36,3.67,3.13,22,6.19,NO,6.564,13.2656,River,31,YES,0.050933645,1
27.5,38.56,0.52,6.727,79.9,3.1,2.68,2.81,2.52,19.1,9.42,YES,9.65,15.22,Lake,24,YES,0.046955478,0
26.5,38.56,0.52,6.781,71.3,3.15,2.74,3.12,2.42,19.1,7.67,YES,7.23,10.212,River,58,YES,0.0444151,1
18.6,38.56,0.52,6.405,85.4,3.03,2.55,2.73,2.55,19.1,10.63,NO,6.772,13.1488,Lake and River,57,YES,0.054341122,1
19.3,38.56,0.52,6.137,87.4,2.97,2.42,2.88,2.58,19.1,13.44,YES,6.886,14.1544,None,36,YES,0.05540686,1
20.1,38.56,0.52,6.167,90,2.63,2.25,2.68,2.13,19.1,12.33,YES,7.102,10.1608,None,20,YES,0.045728768,1
19.5,38.56,0.52,5.851,96.7,2.19,1.95,2.13,2.15,19.1,16.47,YES,7.89,13.156,None,57,YES,0.05142062,1
19.5,38.56,0.52,5.836,91.9,2.37,2.07,2.48,1.92,19.1,18.66,YES,10.29,14.156,Lake,20,YES,0.048169777,0
20.4,38.56,0.52,6.127,85.2,2.35,1.95,2.17,2.02,19.1,14.09,YES,6.008,14.1632,Lake and River,57,YES,0.05169746,0
19.8,38.56,0.52,6.474,97.1,2.72,2.18,2.54,2.3,19.1,12.27,NO,8.596,10.1584,Lake and River,48,YES,0.050114607,0
19.4,38.56,0.52,6.229,91.2,2.57,2.28,2.88,2.45,19.1,15.55,YES,9.788,14.1552,None,41,YES,0.055473931,0
21.7,38.56,0.52,6.195,54.4,3.05,2.6,3.04,2.42,19.1,13,YES,6.934,10.1736,None,37,YES,0.045227306,0
22.8,40.01,0.547,6.715,81.6,2.81,2.63,3,2.26,22.2,10.16,YES,5.656,13.1824,River,34,YES,0.05432915,1
18.8,40.01,0.547,5.913,92.9,2.55,2.23,2.56,2.07,22.2,16.21,YES,,15.1504,River,35,YES,0.057643674,0
18.7,40.01,0.547,6.092,95.4,2.59,2.25,2.55,2.8,22.2,17.09,YES,10.074,10.1496,River,59,YES,0.060331195,0
18.5,40.01,0.547,6.254,84.2,2.54,2.14,2.29,2.05,22.2,10.45,NO,6.67,12.148,Lake and River,39,YES,0.056980267,1
18.3,40.01,0.547,5.928,88.2,2.56,2.41,2.72,2.16,22.2,15.76,NO,7.566,11.1464,None,24,YES,0.053824188,1
21.2,40.01,0.547,6.176,72.5,2.93,2.71,3,2.28,22.2,12.04,NO,6.524,13.1696,None,23,YES,0.052774054,1
19.2,40.01,0.547,6.021,82.6,2.77,2.49,2.92,2.81,22.2,10.3,NO,9.484,15.1536,Lake and River,28,YES,0.060808694,1
20.4,40.01,0.547,5.872,73.1,2.8,2.27,2.62,2.22,22.2,15.37,YES,8.008,14.1632,River,40,YES,0.056588861,0
19.3,40.01,0.547,5.731,65.2,2.96,2.52,2.92,2.63,22.2,13.61,YES,10.186,11.1544,River,20,YES,0.052908001,1
22,55.65,0.581,5.87,69.7,2.4,2.16,2.53,1.94,20.9,14.37,YES,7.84,10.176,River,23,YES,0.056973923,1
20.3,55.65,0.581,6.004,84.1,2.44,1.96,2.37,2.02,20.9,14.27,YES,9.706,10.1624,Lake and River,39,YES,0.056765616,1
20.5,55.65,0.581,5.961,92.9,2.34,1.85,2.27,1.9,20.9,17.93,YES,8.91,10.164,None,51,YES,0.060720897,1
17.3,55.65,0.581,5.856,97,2.22,1.82,2.07,1.67,20.9,25.41,YES,9.146,10.1384,Lake,51,YES,0.052355372,0
18.8,55.65,0.581,5.879,95.8,2.21,1.74,2.2,1.88,20.9,17.58,NO,6.276,13.1504,River,56,YES,0.062119064,0
21.4,55.65,0.581,5.986,88.4,2.13,1.85,2.29,1.69,20.9,14.81,YES,8.128,14.1712,Lake,22,YES,0.060716839,0
15.7,55.65,0.581,5.613,95.6,1.93,1.52,1.8,1.77,20.9,27.26,NO,7.714,10.1256,Lake,42,YES,0.063462127,0
16.2,51.89,0.624,5.693,96,2.09,1.73,1.84,1.49,18.8,17.19,YES,5.924,15.1296,None,31,YES,0.056659877,0
18,51.89,0.624,6.431,98.8,1.96,1.61,1.92,1.77,18.8,15.39,NO,8.16,14.144,None,41,YES,0.056365006,0
14.3,51.89,0.624,5.637,94.7,2.3,1.88,2.1,1.65,18.8,18.34,YES,7.886,10.1144,Lake,30,YES,0.058060503,0
19.2,51.89,0.624,6.458,98.9,2.37,1.93,2.36,1.81,18.8,12.6,YES,8.984,13.1536,None,25,YES,0.066273177,0
19.6,51.89,0.624,6.326,97.7,2.54,2.03,2.42,2.09,18.8,12.26,YES,7.592,12.1568,None,29,YES,0.055879606,0
23,51.89,0.624,6.372,97.9,2.41,2.16,2.4,2.34,18.8,11.12,YES,8.96,12.184,Lake and River,57,YES,0.05495705,1
18.4,51.89,0.624,5.822,95.4,2.73,2.42,2.53,2.21,18.8,15.03,YES,10.268,10.1472,Lake and River,58,YES,0.061670168,1
15.6,51.89,0.624,5.757,98.4,2.35,2.28,2.53,2.23,18.8,17.31,NO,9.012,11.1248,Lake and River,32,YES,0.064571272,1
18.1,51.89,0.624,6.335,98.2,2.22,2.07,2.32,1.83,18.8,16.96,YES,7.862,11.1448,River,37,YES,0.066297131,1
17.4,51.89,0.624,5.942,93.5,2.26,1.84,2.18,1.59,18.8,16.9,NO,10.148,10.1392,River,37,YES,0.062157471,1
17.1,51.89,0.624,6.454,98.4,2.15,1.53,2.17,1.55,18.8,14.59,YES,6.942,11.1368,None,40,YES,0.067321325,1
13.3,51.89,0.624,5.857,98.2,1.89,1.41,1.84,1.53,18.8,21.32,NO,8.066,14.1064,River,39,YES,0.059284665,1
17.8,51.89,0.624,6.151,97.9,1.91,1.59,1.68,1.49,18.8,18.46,YES,8.656,10.1424,Lake,29,YES,0.059113982,0
14,51.89,0.624,6.174,93.6,1.86,1.54,1.87,1.18,18.8,24.16,NO,5.68,10.112,Lake,28,YES,0.056976992,0
14.4,51.89,0.624,5.019,100,1.63,1.32,1.71,1.1,18.8,34.41,YES,9.988,12.1152,None,43,YES,0.056051787,0
13.4,49.58,0.871,5.403,100,1.34,1.04,1.64,1.27,25.3,26.82,YES,5.268,13.1072,River,42,YES,0.080678048,0
15.6,49.58,0.871,5.468,100,1.64,1.2,1.58,1.23,25.3,26.42,YES,7.312,13.1248,None,25,YES,0.07925606,0
11.8,49.58,0.871,4.903,97.8,1.48,1.08,1.55,1.27,25.3,29.29,YES,6.636,13.0944,River,52,YES,0.079429069,0
13.8,49.58,0.871,6.13,100,1.69,1.26,1.72,1.01,25.3,27.8,YES,7.776,10.1104,River,59,YES,0.084516058,1
15.6,49.58,0.871,5.628,100,1.82,1.49,1.69,1.06,25.3,16.65,YES,5.612,10.1248,River,32,YES,0.075905363,1
14.6,49.58,0.871,4.926,95.7,1.77,1.36,1.66,1.05,25.3,29.53,NO,6.892,11.1168,None,24,YES,0.079946625,0
17.8,49.58,0.871,5.186,93.8,1.58,1.23,1.6,1.72,25.3,28.32,NO,9.856,14.1424,Lake,43,YES,0.08378952,0
15.4,49.58,0.871,5.597,94.9,1.76,1.22,1.59,1.52,25.3,21.45,NO,10.108,15.1232,None,48,YES,0.075894744,1
21.5,49.58,0.871,6.122,97.3,1.65,1.52,1.93,1.37,25.3,14.1,NO,5.53,12.172,River,34,YES,0.083032787,0
19.6,49.58,0.871,5.404,100,1.86,1.46,1.77,1.27,25.3,13.28,NO,6.492,11.1568,River,42,YES,0.075318927,0
15.3,49.58,0.871,5.012,88,1.82,1.56,1.9,1.16,25.3,12.12,YES,5.406,10.1224,None,46,YES,0.085078322,0
19.4,49.58,0.871,5.709,98.5,1.78,1.36,1.9,1.45,25.3,15.79,NO,6.088,12.1552,None,58,YES,0.083903874,1
17,49.58,0.871,6.129,96,1.77,1.47,1.97,1.78,25.3,15.12,NO,7.44,15.136,Lake and River,48,YES,0.080515947,1
15.6,49.58,0.871,6.152,82.6,1.88,1.45,1.92,1.74,25.3,15.02,NO,9.912,11.1248,River,37,YES,0.086711473,1
13.1,49.58,0.871,5.272,94,1.99,1.71,1.85,1.39,25.3,16.14,NO,6.362,10.1048,River,60,YES,0.074884947,0
41.3,49.58,0.605,6.943,97.4,1.99,1.76,1.92,1.84,25.3,4.59,YES,8.226,13.3304,None,57,YES,0.05481416,0
24.3,49.58,0.605,6.066,100,1.96,1.54,1.9,1.63,25.3,6.43,NO,8.886,13.1944,River,46,YES,0.055598528,1
23.3,49.58,0.871,6.51,100,1.84,1.69,1.98,1.56,25.3,7.39,YES,7.166,12.1864,Lake,36,YES,0.076488584,1
27,49.58,0.605,6.25,92.6,1.86,1.52,1.88,1.94,25.3,5.5,YES,8.44,12.216,Lake,23,YES,0.051890692,0
50,49.58,0.605,7.489,90.8,2.17,1.89,2.13,1.69,25.3,1.73,YES,10.5,11.4,None,35,YES,0.053896795,0
50,49.58,0.605,7.802,98.2,2.26,1.76,2.11,2.04,25.3,1.92,YES,8.4,12.4,Lake,22,YES,0.055681854,0
50,49.58,0.605,8.375,93.9,2.26,1.94,2.4,2.05,25.3,3.32,YES,8,12.4,River,57,YES,0.060273298,0
22.7,49.58,0.605,5.854,91.8,2.71,2.39,2.49,2.1,25.3,11.64,YES,8.354,15.1816,Lake,56,YES,0.065833104,1
25,49.58,0.605,6.101,93,2.37,2.28,2.59,1.89,25.3,9.81,YES,10,12.2,River,22,YES,0.053283066,1
50,49.58,0.605,7.929,96.2,2.11,1.91,2.31,1.86,25.3,3.7,YES,8.3,15.4,River,37,YES,0.052105035,0
23.8,49.58,0.605,5.877,79.2,2.69,2.21,2.58,2.22,25.3,12.14,YES,10.076,10.1904,Lake,22,YES,0.054831218,1
23.8,49.58,0.605,6.319,96.1,2.29,2.04,2.24,1.83,25.3,11.1,NO,6.676,11.1904,None,23,YES,0.066262309,1
22.3,49.58,0.605,6.402,95.2,2.3,2.12,2.33,2.3,25.3,11.32,NO,5.546,15.1784,Lake and River,22,YES,0.053555634,1
17.4,49.58,0.605,5.875,94.6,2.7,2.42,2.72,1.86,25.3,14.43,NO,7.948,11.1392,Lake,28,YES,0.060587462,1
19.1,49.58,0.605,5.88,97.3,2.62,2.36,2.55,2.03,25.3,12.03,NO,9.782,12.1528,River,54,YES,0.057446331,1
23.1,34.05,0.51,5.572,88.5,2.7,2.54,2.73,2.42,23.4,14.69,NO,9.362,12.1848,River,38,YES,0.052949504,1
23.6,34.05,0.51,6.416,84.1,2.86,2.57,2.77,2.39,23.4,9.04,YES,9.872,10.1888,None,59,YES,0.053992976,1
22.6,34.05,0.51,5.859,68.7,2.84,2.7,3.03,2.24,23.4,9.64,YES,9.752,15.1808,River,35,YES,0.052971979,1
29.4,34.05,0.51,6.546,33.1,3.22,2.91,3.21,3.18,23.4,5.33,YES,6.188,12.2352,None,48,YES,0.050839826,0
23.2,34.05,0.51,6.02,47.2,3.75,3.41,3.78,3.28,23.4,10.11,YES,8.564,15.1856,Lake,49,YES,0.05195249,1
24.6,34.05,0.51,6.315,73.4,3.35,3.28,3.41,3.24,23.4,6.29,YES,7.092,14.1968,Lake,31,YES,0.047376831,1
29.9,34.05,0.51,6.86,74.4,3.19,2.75,3.21,2.5,23.4,6.92,NO,5.898,11.2392,None,28,YES,0.054717152,0
37.2,32.46,0.488,6.98,58.4,3.11,2.55,2.84,2.82,22.2,5.04,NO,9.744,11.2976,Lake,50,YES,0.045500586,0
39.8,32.46,0.488,7.765,83.3,2.98,2.66,2.96,2.36,22.2,7.56,YES,8.496,14.3184,Lake and River,60,YES,0.046516009,0
36.2,32.46,0.488,6.144,62.2,2.69,2.39,2.79,2.52,22.2,9.45,YES,6.624,15.2896,River,59,YES,0.056018002,0
37.9,32.46,0.488,7.155,92.2,2.72,2.65,2.92,2.5,22.2,4.82,YES,9.258,15.3032,River,56,YES,0.042959915,0
32.5,32.46,0.488,6.563,95.6,3.04,2.67,2.91,2.76,22.2,5.68,YES,7.35,14.26,Lake,60,YES,0.045047217,0
26.4,32.46,0.488,5.604,89.8,3.06,2.84,3.15,2.91,22.2,13.98,YES,9.928,10.2112,Lake,27,YES,0.046676165,1
29.6,32.46,0.488,6.153,68.8,3.43,3.05,3.5,3.14,22.2,13.15,YES,8.192,11.2368,Lake,45,YES,0.046596095,1
50,32.46,0.488,7.831,53.6,3.45,3.19,3.51,2.65,22.2,4.45,YES,6,13.4,Lake,35,YES,0.045703391,0
32,33.44,0.437,6.782,41.1,3.81,3.7,3.87,3.77,24.8,6.68,YES,7.84,13.256,River,23,YES,0.042225334,0
29.8,33.44,0.437,6.556,29.1,4.62,4.28,4.68,4.69,24.8,4.56,YES,7.596,10.2384,River,40,YES,0.045949197,1
34.9,33.44,0.437,7.185,38.9,4.83,4.43,4.68,4.33,24.8,5.39,NO,9.298,14.2792,River,20,YES,0.04637912,0
33,33.44,0.437,6.951,21.5,6.54,6.36,6.71,6.31,24.8,5.1,NO,6.16,11.264,None,55,YES,0.050923075,0
30.5,33.44,0.437,6.739,30.8,6.71,6.42,6.74,6.05,24.8,4.69,NO,8.81,11.244,None,40,YES,0.038316195,1
36.4,33.44,0.437,7.178,26.3,6.76,6.34,6.6,6.21,24.8,2.87,YES,10.528,11.2912,Lake,40,YES,0.044716451,1
31.1,32.93,0.401,6.8,9.9,6.46,6.13,6.45,5.84,24.4,5.03,NO,6.822,13.2488,River,24,YES,0.041103452,1
29.1,32.93,0.401,6.604,18.8,6.51,6.03,6.46,5.88,24.4,4.38,NO,9.282,14.2328,River,59,YES,0.04883319,1
